TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	SOC-lz(s)_UZ   	Calcite(s)_UZ  	Calcite-lz(s)_UZ	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	SOC-lz(s)_LZ   	Calcite(s)_LZ  	Calcite-lz(s)_LZ	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	SOC-lz(s)_riv  	Calcite(s)_riv 	Calcite-lz(s)_riv	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	SOC-lz(s)_rate_UZ      	Calcite(s)_rate_UZ     	Calcite-lz(s)_rate_UZ  	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	SOC-lz(s)_rate_LZ      	Calcite(s)_rate_LZ     	Calcite-lz(s)_rate_LZ  	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.25205e-06    	1.16546e-05    	0.000374634    	0.000429123    	0.000649094    	0.0194132      	0.084819       	7.34779e-10    	0.0127731      	2.68902e-09    	10             	8.67599e-09    	1.61987e-08    	0.000965888    	0.00708677     	4.17004e-07    	8.47463e-06    	0.000721152    	0.00064192     	5.97335e-05    	0.000238439    	8.65951e-10    	0.00735711     	2.71641e-09    	0.0406102      	87             	2.64852e-08    	9.68289e-08    	0.00060909     	8.01058e-06    	6.71327e-07    	9.92111e-06    	0.000563433    	0.000545123    	0.00032782     	8.4433e-21     	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.63364e-08    	4.63258e-08    	0.000771499    	1.5567e-21     	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.06547e-06    	1.17534e-05    	0.00043605     	0.000497056    	0.000661208    	0.0193167      	0.0848179      	7.34777e-10    	0.0127676      	2.689e-09      	10             	1.02471e-08    	2.2385e-08     	0.000951875    	0.00718327     	4.23364e-07    	8.51786e-06    	0.000718325    	0.000640608    	6.53353e-05    	0.000237715    	8.65951e-10    	0.0073571      	2.71641e-09    	0.0406102      	87             	2.60848e-08    	9.49812e-08    	0.000616015    	8.73518e-06    	4.58909e-07    	8.80065e-06    	0.000693642    	0.000628062    	0.000117415    	9.38053e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.40421e-08    	8.44546e-08    	0.000645385    	6.19466e-22    	-0.0016067             	-2.49283e-12           	-0.00826749            	-2.07426e-11           	4.53507e-07            	-1.47143e-14           	-0.000372783           	7.36647e-10            	-0.000162414           	-0.000440251           
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	9.74912e-07    	1.18825e-05    	0.00047715     	0.000542581    	0.000691358    	0.0190808      	0.084817       	7.34775e-10    	0.0127642      	2.68899e-09    	10             	1.12347e-08    	2.69438e-08    	0.000950039    	0.00741916     	4.25053e-07    	8.52516e-06    	0.000718562    	0.000640884    	6.50585e-05    	0.000237751    	8.65951e-10    	0.0073571      	2.71642e-09    	0.0406102      	87             	2.59816e-08    	9.46384e-08    	0.000618666    	8.69948e-06    	4.25053e-07    	8.52516e-06    	0.000718562    	0.000640884    	6.50585e-05    	9.64701e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.59816e-08    	9.46384e-08    	0.000618666    	3.52992e-22    	-0.00132555            	-2.55963e-12           	-0.00497665            	-2.02233e-11           	3.32009e-07            	-1.47143e-14           	-0.000411693           	7.17723e-10            	-0.000132313           	-0.000274155           
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	9.32115e-07    	1.2006e-05     	0.000502901    	0.000571156    	0.000705045    	0.0189756      	0.0848161      	7.34773e-10    	0.0127624      	2.68898e-09    	10             	1.17731e-08    	2.98179e-08    	0.000955524    	0.00752437     	4.2578e-07     	8.52516e-06    	0.000719351    	0.000641391    	6.35983e-05    	0.000237939    	8.65951e-10    	0.0073571      	2.71643e-09    	0.0406102      	87             	2.59381e-08    	9.45871e-08    	0.000620385    	8.51096e-06    	4.2578e-07     	8.52516e-06    	0.000719351    	0.000641391    	6.35983e-05    	9.65466e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.59381e-08    	9.45871e-08    	0.000620385    	3.45342e-22    	-0.00134308            	-2.63357e-12           	-0.00280862            	-1.98538e-11           	3.35558e-07            	-1.47143e-14           	-0.000408992           	7.15467e-10            	-0.000136624           	-0.000226621           
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	9.14003e-07    	1.21503e-05    	0.000519998    	0.000590213    	0.000717189    	0.0188832      	0.0848152      	7.34772e-10    	0.0127614      	2.68896e-09    	10             	1.20214e-08    	3.15225e-08    	0.000967602    	0.00761675     	4.26386e-07    	8.52516e-06    	0.000720158    	0.000641909    	6.21696e-05    	0.000238124    	8.65951e-10    	0.00735709     	2.71643e-09    	0.0406102      	87             	2.59022e-08    	9.45653e-08    	0.000621942    	8.32622e-06    	4.26386e-07    	8.52516e-06    	0.000720158    	0.000641909    	6.21696e-05    	9.66215e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.59022e-08    	9.45653e-08    	0.000621942    	3.37846e-22    	-0.00135438            	-2.67365e-12           	-0.00147518            	-1.96216e-11           	3.44596e-07            	-1.47143e-14           	-0.000398073           	7.16256e-10            	-0.000139153           	-0.000195448           
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	9.10163e-07    	1.23264e-05    	0.000532473    	0.000604223    	0.000732062    	0.0187713      	0.0848142      	7.3477e-10     	0.012761       	2.68895e-09    	10             	1.20831e-08    	3.24746e-08    	0.000985762    	0.00772865     	4.26829e-07    	8.52396e-06    	0.000720946    	0.00064239     	6.07632e-05    	0.000238306    	8.65951e-10    	0.00735709     	2.71644e-09    	0.0406102      	87             	2.58762e-08    	9.45771e-08    	0.000623248    	8.1441e-06     	4.26829e-07    	8.52396e-06    	0.000720946    	0.00064239     	6.07632e-05    	9.66954e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.58762e-08    	9.45771e-08    	0.000623248    	3.30457e-22    	-0.00144591            	-2.71338e-12           	-0.000651428           	-1.94799e-11           	3.87445e-07            	-1.47143e-14           	-0.000387562           	7.17327e-10            	-0.000153073           	-0.000171855           
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	9.15514e-07    	1.24689e-05    	0.000539483    	0.000612153    	0.000744452    	0.0186791      	0.0848132      	7.34768e-10    	0.0127609      	2.68894e-09    	10             	1.20186e-08    	3.27435e-08    	0.0010041      	0.00782087     	4.27082e-07    	8.52396e-06    	0.000721972    	0.00064305     	5.93961e-05    	0.000238483    	8.65951e-10    	0.00735709     	2.71644e-09    	0.0406102      	87             	2.5862e-08     	9.46643e-08    	0.000624478    	7.96679e-06    	4.27082e-07    	8.52396e-06    	0.000721972    	0.00064305     	5.93961e-05    	9.67674e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.5862e-08     	9.46643e-08    	0.000624478    	3.23262e-22    	-0.00159282            	-2.76246e-12           	-0.000111146           	-1.93898e-11           	4.59321e-07            	-1.47143e-14           	-0.000377441           	7.18595e-10            	-0.00017599            	-0.000154182           
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	9.25881e-07    	1.25854e-05    	0.000543542    	0.00061679     	0.000754972    	0.0186016      	0.0848119      	7.34766e-10    	0.012761       	2.68892e-09    	10             	1.18875e-08    	3.264e-08      	0.00102282     	0.00789845     	4.27028e-07    	8.52396e-06    	0.000723278    	0.000643889    	5.80588e-05    	0.000238657    	8.65951e-10    	0.00735708     	2.71645e-09    	0.0406102      	87             	2.58668e-08    	9.48586e-08    	0.000625491    	7.79309e-06    	4.27028e-07    	8.52396e-06    	0.000723278    	0.000643889    	5.80588e-05    	9.68379e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.58668e-08    	9.48586e-08    	0.000625491    	3.16214e-22    	-0.00189559            	-2.80315e-12           	0.000126114            	-1.93544e-11           	6.02771e-07            	-1.47143e-14           	-0.00036767            	7.20947e-10            	-0.000223287           	-0.000141544           
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	9.33148e-07    	1.1506e-05     	0.000480337    	0.000546157    	0.000644612    	0.019449       	0.084811       	7.34764e-10    	0.0127611      	2.68891e-09    	10             	1.17403e-08    	2.83514e-08    	0.000915199    	0.007051       	4.31751e-07    	8.56365e-06    	0.000720901    	0.00064314     	6.35874e-05    	0.00023794     	8.65951e-10    	0.00735708     	2.71646e-09    	0.0406102      	87             	2.55821e-08    	9.35001e-08    	0.000630372    	8.50957e-06    	5.56817e-07    	9.53937e-06    	0.000641101    	0.000610979    	0.000256265    	8.74027e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.97847e-08    	6.41344e-08    	0.000724858    	1.25973e-21    	-0.00138251            	-2.83755e-12           	0.000216193            	-1.93452e-11           	4.12537e-07            	-1.47143e-14           	-0.000358239           	7.2466e-10             	-0.000148201           	-0.000100557           
