TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	SOC-lz(s)_UZ   	Calcite(s)_UZ  	Calcite-lz(s)_UZ	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	SOC-lz(s)_LZ   	Calcite(s)_LZ  	Calcite-lz(s)_LZ	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	SOC-lz(s)_riv  	Calcite(s)_riv 	Calcite-lz(s)_riv	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	SOC-lz(s)_rate_UZ      	Calcite(s)_rate_UZ     	Calcite-lz(s)_rate_UZ  	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	SOC-lz(s)_rate_LZ      	Calcite(s)_rate_LZ     	Calcite-lz(s)_rate_LZ  	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.39849e-06    	1.27031e-05    	0.000246235    	0.000290611    	0.000625491    	0.019604       	0.0854561      	7.34544e-10    	0.0129591      	2.68915e-09    	10             	7.67466e-09    	9.30285e-09    	0.000717659    	0.00689597     	4.30979e-07    	9.5906e-06     	0.000692072    	0.000603183    	6.6417e-05     	0.000237575    	8.65951e-10    	0.00735727     	2.71478e-09    	0.0406102      	87             	2.55679e-08    	8.94942e-08    	0.000605496    	8.87452e-06    	5.99333e-07    	1.07393e-05    	0.000527369    	0.000487827    	0.000272746    	8.67006e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.8231e-08     	4.82047e-08    	0.000647067    	1.32994e-21    	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	9.81e-07       	1.29524e-05    	0.000342595    	0.000397509    	0.000648518    	0.0194179      	0.0854554      	7.34542e-10    	0.0129538      	2.68914e-09    	10             	1.10448e-08    	1.88086e-08    	0.000693839    	0.00708212     	4.36556e-07    	9.64128e-06    	0.000687773    	0.000600706    	7.26148e-05    	0.00023678     	8.65951e-10    	0.00735727     	2.71479e-09    	0.0406102      	87             	2.52367e-08    	8.777e-08      	0.000609631    	9.67016e-06    	4.51329e-07    	9.8156e-06     	0.00066959     	0.000590009    	0.000102934    	9.45276e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.43916e-08    	8.25218e-08    	0.000614077    	5.47242e-22    	-0.00110339            	-2.41493e-12           	-0.00797128            	-2.13996e-11           	3.61231e-08            	-1.47143e-14           	-0.000412218           	5.79027e-10            	-0.00016911            	-0.000512993           
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	8.18294e-07    	1.32399e-05    	0.000408759    	0.00047097     	0.00070585     	0.0189696      	0.0854548      	7.34541e-10    	0.0129507      	2.68913e-09    	10             	1.33166e-08    	2.72155e-08    	0.000686621    	0.0075304      	4.38345e-07    	9.64858e-06    	0.000688003    	0.000600954    	7.21251e-05    	0.000236843    	8.65951e-10    	0.00735727     	2.71479e-09    	0.0406102      	87             	2.51341e-08    	8.74439e-08    	0.000612324    	9.60748e-06    	4.38345e-07    	9.64858e-06    	0.000688003    	0.000600954    	7.21251e-05    	9.61017e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.51341e-08    	8.74439e-08    	0.000612324    	3.89835e-22    	-0.000887635           	-2.54399e-12           	-0.00476514            	-2.06277e-11           	1.93978e-08            	-1.47143e-14           	-0.000455187           	5.58827e-10            	-0.000137783           	-0.000394334           
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	7.5119e-07     	1.35423e-05    	0.000450782    	0.000517789    	0.000734076    	0.0187564      	0.0854542      	7.34539e-10    	0.0129489      	2.68911e-09    	10             	1.45552e-08    	3.29188e-08    	0.000692781    	0.0077436      	4.39502e-07    	9.64858e-06    	0.000688828    	0.000601483    	7.052e-05      	0.000237048    	8.65951e-10    	0.00735726     	2.7148e-09     	0.0406102      	87             	2.50689e-08    	8.73248e-08    	0.000614654    	9.40183e-06    	4.39502e-07    	9.64858e-06    	0.000688828    	0.000601483    	7.052e-05      	9.61851e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.50689e-08    	8.73248e-08    	0.000614654    	3.8149e-22     	-0.000889895           	-2.68439e-12           	-0.00258329            	-2.00067e-11           	1.8777e-08             	-1.47143e-14           	-0.000450276           	5.56687e-10            	-0.000142069           	-0.000347435           
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	7.27156e-07    	1.39312e-05    	0.000479509    	0.000550074    	0.000763893    	0.0185364      	0.0854536      	7.34537e-10    	0.0129481      	2.6891e-09     	10             	1.50697e-08    	3.63376e-08    	0.000711771    	0.00796364     	4.40498e-07    	9.64858e-06    	0.000689671    	0.000602024    	6.89475e-05    	0.00023725     	8.65951e-10    	0.00735726     	2.7148e-09     	0.0406102      	87             	2.50132e-08    	8.72408e-08    	0.000616777    	9.20001e-06    	4.40498e-07    	9.64858e-06    	0.000689671    	0.000602024    	6.89475e-05    	9.6267e-21     	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.50132e-08    	8.72408e-08    	0.000616777    	3.73301e-22    	-0.000888635           	-2.76882e-12           	-0.00121261            	-1.95977e-11           	2.22142e-08            	-1.47143e-14           	-0.000437778           	5.56929e-10            	-0.000144585           	-0.000305382           
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	7.26465e-07    	1.4382e-05     	0.00049977     	0.000573127    	0.000799199    	0.0182824      	0.085453       	7.34535e-10    	0.0129479      	2.68909e-09    	10             	1.51073e-08    	3.80279e-08    	0.000740003    	0.00821761     	4.41294e-07    	9.6472e-06     	0.000690503    	0.000602536    	6.73976e-05    	0.000237449    	8.65951e-10    	0.00735726     	2.71481e-09    	0.0406102      	87             	2.4969e-08     	8.7195e-08     	0.000618615    	9.00075e-06    	4.41294e-07    	9.6472e-06     	0.000690503    	0.000602536    	6.73976e-05    	9.63478e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.4969e-08     	8.7195e-08     	0.000618615    	3.65216e-22    	-0.000936349           	-2.8664e-12            	-0.000354828           	-1.93416e-11           	3.15667e-08            	-1.47143e-14           	-0.000425857           	5.57493e-10            	-0.000158955           	-0.0002744             
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	7.39069e-07    	1.47193e-05    	0.000509416    	0.000584288    	0.000826524    	0.0180906      	0.0854523      	7.34533e-10    	0.012948       	2.68907e-09    	10             	1.48606e-08    	3.81575e-08    	0.000766811    	0.00840943     	4.41864e-07    	9.6472e-06     	0.000691576    	0.000603226    	6.58896e-05    	0.000237643    	8.65951e-10    	0.00735725     	2.71481e-09    	0.0406102      	87             	2.49379e-08    	8.72264e-08    	0.000620347    	8.80656e-06    	4.41864e-07    	9.6472e-06     	0.000691576    	0.000603226    	6.58896e-05    	9.64266e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.49379e-08    	8.72264e-08    	0.000620347    	3.57337e-22    	-0.00101718            	-2.98068e-12           	0.00015017             	-1.91945e-11           	4.66587e-08            	-1.47143e-14           	-0.000414466           	5.58304e-10            	-0.000182674           	-0.000250882           
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	7.57338e-07    	1.50302e-05    	0.000515854    	0.00059187     	0.000852473    	0.0179121      	0.0854515      	7.34531e-10    	0.0129482      	2.68906e-09    	10             	1.45092e-08    	3.77456e-08    	0.000795305    	0.0085879      	4.42085e-07    	9.6472e-06     	0.000692942    	0.000604104    	6.44131e-05    	0.000237834    	8.65951e-10    	0.00735725     	2.71482e-09    	0.0406102      	87             	2.4927e-08     	8.7366e-08     	0.000621844    	8.61613e-06    	4.42085e-07    	9.6472e-06     	0.000692942    	0.000604104    	6.44131e-05    	9.65039e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.4927e-08     	8.7366e-08     	0.000621844    	3.4961e-22     	-0.00119929            	-3.06827e-12           	0.000307386            	-1.91575e-11           	7.08127e-08            	-1.47143e-14           	-0.000403547           	5.60183e-10            	-0.000231708           	-0.000235378           
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	7.72151e-07    	1.28158e-05    	0.000415419    	0.000478609    	0.000647385    	0.0194269      	0.0854509      	7.34529e-10    	0.0129484      	2.68905e-09    	10             	1.41202e-08    	2.93446e-08    	0.000658096    	0.00707315     	4.4559e-07     	9.69565e-06    	0.000689593    	0.00060276     	7.07704e-05    	0.000237016    	8.65951e-10    	0.00735725     	2.71482e-09    	0.0406102      	87             	2.47283e-08    	8.62406e-08    	0.000623813    	9.43394e-06    	4.92642e-07    	1.03752e-05    	0.000629858    	0.000575719    	0.000196361    	9.00546e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.23182e-08    	7.09346e-08    	0.000631301    	9.94541e-22    	-0.000866595           	-3.1503e-12            	0.000366472            	-1.91522e-11           	5.39622e-08            	-1.47143e-14           	-0.000393071           	5.63417e-10            	-0.000153767           	-0.000172184           
