TIME           	H+_SNOW        	Cl-_SNOW       	HCO3-_SNOW     	Ca++_SNOW      	DOC_SNOW       	H+_SURFACE     	Cl-_SURFACE    	HCO3-_SURFACE  	Ca++_SURFACE   	DOC_SURFACE    	H+_UZ          	Cl-_UZ         	HCO3-_UZ       	Ca++_UZ        	DOC_UZ         	X-_UZ          	SOC(s)_UZ      	SOC-lz(s)_UZ   	Calcite(s)_UZ  	Calcite-lz(s)_UZ	CO2(*g)_UZ     	OH-_UZ         	CO3--_UZ       	CO2(aq)_UZ     	XDOC_UZ        	H+_LZ          	Cl-_LZ         	HCO3-_LZ       	Ca++_LZ        	DOC_LZ         	X-_LZ          	SOC(s)_LZ      	SOC-lz(s)_LZ   	Calcite(s)_LZ  	Calcite-lz(s)_LZ	CO2(*g)_LZ     	OH-_LZ         	CO3--_LZ       	CO2(aq)_LZ     	XDOC_LZ        	H+_riv         	Cl-_riv        	HCO3-_riv      	Ca++_riv       	DOC_riv        	X-_riv         	SOC(s)_riv     	SOC-lz(s)_riv  	Calcite(s)_riv 	Calcite-lz(s)_riv	CO2(*g)_riv    	OH-_riv        	CO3--_riv      	CO2(aq)_riv    	XDOC_riv       	SOC(s)_rate_UZ         	SOC-lz(s)_rate_UZ      	Calcite(s)_rate_UZ     	Calcite-lz(s)_rate_UZ  	CO2(*g)_rate_UZ        	SOC(s)_rate_LZ         	SOC-lz(s)_rate_LZ      	Calcite(s)_rate_LZ     	Calcite-lz(s)_rate_LZ  	CO2(*g)_rate_LZ        
YYYYMMDD       	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/L          	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             	mol/m2/day             
20151001       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.40271e-06    	1.34369e-05    	0.000340105    	0.000393907    	0.000724974    	0.0188248      	0.0850434      	7.34651e-10    	0.0128924      	2.68896e-09    	10             	7.72226e-09    	1.30513e-08    	0.000985153    	0.00767524     	4.10464e-07    	9.2071e-06     	0.000732737    	0.000652254    	6.37091e-05    	0.000237925    	8.65951e-10    	0.00735725     	2.71716e-09    	0.0406103      	87             	2.69249e-08    	1.00086e-07    	0.000608769    	8.52531e-06    	5.54364e-07    	1.03284e-05    	0.000628563    	0.000583768    	0.000239007    	8.81506e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.98413e-08    	6.29591e-08    	0.000708649    	1.18494e-21    	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      	0                      
20151002       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.13924e-06    	1.35954e-05    	0.000414453    	0.000476248    	0.000740419    	0.0187092      	0.0850425      	7.34649e-10    	0.0128868      	2.68895e-09    	10             	9.569e-09      	1.98372e-08    	0.000968838    	0.00779078     	4.16175e-07    	9.25442e-06    	0.000730223    	0.000650946    	6.86851e-05    	0.000237284    	8.65951e-10    	0.00735725     	2.71716e-09    	0.0406103      	87             	2.6553e-08     	9.83546e-08    	0.000615179    	9.1664e-06     	4.16175e-07    	9.25442e-06    	0.000730223    	0.000650946    	6.86851e-05    	9.62806e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.6553e-08     	9.83546e-08    	0.000615179    	3.71937e-22    	-0.00140384            	-2.74414e-12           	-0.00838433            	-2.10075e-11           	3.37772e-07            	-1.47143e-14           	-0.000393147           	7.90345e-10            	-0.00015853            	-0.000445851           
20151003       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1.01657e-06    	1.37854e-05    	0.00046501     	0.000532309    	0.000776695    	0.0184435      	0.0850417      	7.34648e-10    	0.0128834      	2.68894e-09    	10             	1.07666e-08    	2.51456e-08    	0.000966122    	0.00805652     	4.1716e-07     	9.25442e-06    	0.000730974    	0.000651429    	6.71554e-05    	0.00023748     	8.65951e-10    	0.00735724     	2.71717e-09    	0.0406103      	87             	2.64912e-08    	9.823e-08      	0.000617249    	8.96969e-06    	4.1716e-07     	9.25442e-06    	0.000730974    	0.000651429    	6.71554e-05    	9.63604e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.64912e-08    	9.823e-08      	0.000617249    	3.63956e-22    	-0.0011566             	-2.82415e-12           	-0.00514278            	-2.04185e-11           	2.45686e-07            	-1.47143e-14           	-0.00042631            	7.72376e-10            	-0.000128732           	-0.000289267           
20151004       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	9.593e-07      	1.39807e-05    	0.000497547    	0.000568482    	0.000792703    	0.0183286      	0.085041       	7.34646e-10    	0.0128814      	2.68892e-09    	10             	1.14373e-08    	2.86534e-08    	0.000973106    	0.0081714      	4.18003e-07    	9.25442e-06    	0.000731751    	0.000651927    	6.56568e-05    	0.000237673    	8.65951e-10    	0.00735724     	2.71718e-09    	0.0406103      	87             	2.64386e-08    	9.81428e-08    	0.000619132    	8.77665e-06    	4.18003e-07    	9.25442e-06    	0.000731751    	0.000651927    	6.56568e-05    	9.64388e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.64386e-08    	9.81428e-08    	0.000619132    	3.56123e-22    	-0.00117276            	-2.90831e-12           	-0.00293836            	-1.99795e-11           	2.48649e-07            	-1.47143e-14           	-0.000414615           	7.72502e-10            	-0.0001325             	-0.000253282           
20151005       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	9.3512e-07     	1.42072e-05    	0.000519273    	0.00059277     	0.0008114      	0.0181962      	0.0850402      	7.34644e-10    	0.0128804      	2.68891e-09    	10             	1.17518e-08    	3.07773e-08    	0.000988425    	0.00830378     	4.18716e-07    	9.25442e-06    	0.000732545    	0.000652437    	6.41889e-05    	0.000237863    	8.65951e-10    	0.00735724     	2.71718e-09    	0.0406103      	87             	2.63945e-08    	9.80887e-08    	0.000620841    	8.58727e-06    	4.18716e-07    	9.25442e-06    	0.000732545    	0.000652437    	6.41889e-05    	9.65156e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.63945e-08    	9.80887e-08    	0.000620841    	3.48438e-22    	-0.0011791             	-2.96004e-12           	-0.0015229             	-1.96922e-11           	2.54772e-07            	-1.47143e-14           	-0.000403456           	7.72987e-10            	-0.00013493            	-0.000219136           
20151006       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	3.9355e-06     	1.5e-07        	1e-10          	7.75e-07       	2.83e-05       	9.29766e-07    	1.44811e-05    	0.000535062    	0.000610586    	0.000834241    	0.0180371      	0.0850393      	7.34642e-10    	0.01288        	2.6889e-09     	10             	1.1833e-08     	3.19701e-08    	0.00101149     	0.00846291     	4.19264e-07    	9.25326e-06    	0.000733329    	0.000652918    	6.27435e-05    	0.00023805     	8.65951e-10    	0.00735723     	2.71719e-09    	0.0406103      	87             	2.63609e-08    	9.8072e-08     	0.000622298    	8.40049e-06    	4.19264e-07    	9.25326e-06    	0.000733329    	0.000652918    	6.27435e-05    	9.65914e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.63609e-08    	9.8072e-08     	0.000622298    	3.4086e-22     	-0.00125464            	-3.02014e-12           	-0.000633643           	-1.95123e-11           	2.86416e-07            	-1.47143e-14           	-0.000392785           	7.73783e-10            	-0.000148424           	-0.000193369           
20151007       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	9.36022e-07    	1.46968e-05    	0.000543626    	0.000620342    	0.000852767    	0.0179101      	0.0850384      	7.3464e-10     	0.0128799      	2.68888e-09    	10             	1.17612e-08    	3.23053e-08    	0.00103396     	0.00858994     	4.19621e-07    	9.25326e-06    	0.000734339    	0.000653567    	6.13363e-05    	0.000238232    	8.65951e-10    	0.00735723     	2.7172e-09     	0.0406103      	87             	2.63396e-08    	9.81323e-08    	0.000623659    	8.21837e-06    	4.19621e-07    	9.25326e-06    	0.000734339    	0.000653567    	6.13363e-05    	9.66653e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.63396e-08    	9.81323e-08    	0.000623659    	3.3347e-22     	-0.00137693            	-3.09236e-12           	-6.44256e-05           	-1.94002e-11           	3.39984e-07            	-1.47143e-14           	-0.000382565           	7.74825e-10            	-0.000170656           	-0.000173646           
20151008       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	9.48345e-07    	1.48909e-05    	0.000549106    	0.000626664    	0.000869922    	0.017794       	0.0850373      	7.34637e-10    	0.0128801      	2.68887e-09    	10             	1.1613e-08     	3.22329e-08    	0.00105771     	0.00870598     	4.19678e-07    	9.25326e-06    	0.000735625    	0.000654394    	5.99588e-05    	0.00023841     	8.65951e-10    	0.00735723     	2.7172e-09     	0.0406103      	87             	2.63375e-08    	9.8302e-08     	0.0006248      	8.03983e-06    	4.19678e-07    	9.25326e-06    	0.000735625    	0.000654394    	5.99588e-05    	9.67377e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.63375e-08    	9.8302e-08     	0.0006248      	3.26225e-22    	-0.00163436            	-3.15102e-12           	0.000180354            	-1.93563e-11           	4.46363e-07            	-1.47143e-14           	-0.000372745           	7.76947e-10            	-0.000216558           	-0.000159702           
20151009       	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	6.91831e-06    	2.82e-06       	1e-10          	2e-06          	6.92e-05       	9.5762e-07     	1.33212e-05    	0.000473446    	0.000541648    	0.00071645     	0.0188889      	0.0850365      	7.34635e-10    	0.0128802      	2.68886e-09    	10             	1.14366e-08    	2.72128e-08    	0.000926022    	0.00761109     	4.2518e-07     	9.31388e-06    	0.00073256     	0.000653255    	6.71882e-05    	0.000237476    	8.65951e-10    	0.00735722     	2.71721e-09    	0.0406103      	87             	2.59943e-08    	9.66076e-08    	0.000630411    	8.97391e-06    	4.93975e-07    	1.00585e-05    	0.000684399    	0.000632518    	0.000187823    	9.04456e-21    	1e-20          	1e-20          	1e-20          	1e-20          	1e-20          	2.23382e-08    	7.74332e-08    	0.000685359    	9.55436e-22    	-0.00118835            	-3.205e-12             	0.000290504            	-1.9341e-11            	3.05763e-07            	-1.47143e-14           	-0.000363302           	7.80448e-10            	-0.000143771           	-0.000113827           
