Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
20151001	1.6118954808	1.116	0.0	7.9	1.73	2.27	0.0	0.00	123.8	0.0	3.8	11.0	0.000	0.7332151524	0.8786803284	1.607	0.004
20151002	1.1521704482	0.592	0.0	5.9	1.26	1.68	0.0	0.00	122.6	0.0	0.5	13.2	0.000	0.100700728	1.0514697202	1.149	0.003
20151003	1.0128877519	0.452	0.0	6.2	1.42	1.91	0.0	0.00	121.1	0.0	0.0	12.7	0.000	0.000	1.0128877519	1.010	0.003
20151004	0.9381366358	0.376	0.0	6.4	1.39	1.90	0.0	0.00	119.7	0.0	0.0	11.8	0.000	0.000	0.9381366358	0.935	0.003
20151005	0.8689021521	0.340	0.0	7.3	1.67	2.30	0.0	0.00	118.1	0.0	0.0	10.9	0.000	0.000	0.8689021521	0.866	0.003
20151006	0.8072815228	0.319	0.1	8.6	1.98	2.77	0.0	0.00	116.2	0.0	0.0	10.1	0.000	0.000	0.8072815228	0.805	0.002
20151007	0.7477041464	0.314	0.0	10.8	1.44	2.04	0.0	0.00	114.7	0.0	0.0	9.4	0.000	0.000	0.7477041464	0.745	0.002
20151008	0.6925235804	0.308	0.0	7.1	1.25	1.80	0.0	0.00	113.5	0.0	0.0	8.7	0.000	0.000	0.6925235804	0.690	0.002
20151009	1.3151905929	1.196	17.1	7.1	0.86	1.19	0.0	0.00	123.8	5.9	2.3	11.0	0.000	0.4361392527	0.8790513402	1.312	0.003
20151010	0.9919052956	0.728	0.3	4.9	1.56	2.07	0.0	0.00	122.4	0.1	0.0	12.4	0.000	0.000	0.9919052956	0.989	0.002
20151011	0.9187026848	0.533	0.0	9.3	1.60	2.16	0.0	0.00	120.8	0.0	0.0	11.5	0.000	0.000	0.9187026848	0.916	0.002
20151012	0.8509024266	0.467	0.0	13.4	1.71	2.34	0.0	0.00	119.1	0.0	0.0	10.7	0.000	0.000	0.8509024266	0.849	0.002
20151013	0.9213580235	0.469	5.0	13.2	1.15	1.58	0.0	0.00	121.1	1.8	0.0	11.6	0.000	0.000	0.9213580235	0.919	0.002
20151014	0.9909983326	0.666	4.9	6.0	1.30	1.74	0.0	0.00	122.9	1.9	0.0	12.4	0.000	0.000	0.9909983326	0.989	0.002
20151015	0.9178626556	0.539	0.0	6.4	1.61	2.16	0.0	0.00	121.2	0.0	0.0	11.5	0.000	0.000	0.9178626556	0.916	0.002
20151016	0.9107816705	0.553	2.2	4.2	1.56	2.11	0.0	0.00	121.1	0.8	0.0	11.4	0.000	0.000	0.9107816705	0.909	0.002
20151017	1.0493795486	0.594	7.2	-0.6	1.72	2.30	0.0	0.00	123.8	2.8	0.0	13.2	0.000	0.000	1.0493795486	1.047	0.002
20151018	0.9719353379	0.564	0.8	-3.3	0.81	1.09	0.6	1.00	122.9	0.0	0.0	12.2	0.000	0.000	0.9719353379	0.970	0.002
20151019	0.9002065100	0.516	0.8	-2.3	0.00	2.01	1.2	1.00	122.9	0.0	0.0	11.3	0.000	0.000	0.90020651	0.898	0.002
20151020	0.8806331702	0.569	0.4	7.1	0.00	1.33	0.0	0.00	123.9	0.6	0.0	11.1	0.000	0.000	0.8806331702	0.878	0.002
20151021	0.8420030382	0.528	0.9	9.6	1.01	1.34	0.0	0.00	123.5	0.4	0.0	10.6	0.000	0.000	0.8420030382	0.840	0.002
