Date	Qsim	Qobs	Precipitation	Temperature	AET	PET	Snow	Snowcover	SM	Recharge	SUZ	SLZ	Q0	Q1	Q2	Qsim_rain	Qsim_snow
20151001	2.1747753830	1.116	0.0	7.9	1.75	2.27	0.0	0.00	85.5	0.0	8.3	12.0	0.000	1.1813292539	0.9934461292	2.174	0.001
20151002	1.8015321087	0.592	0.0	5.9	1.27	1.68	0.0	0.00	84.2	0.0	4.5	13.9	0.000	0.647469023	1.1540630857	1.801	0.001
20151003	1.4827371895	0.452	0.0	6.2	1.42	1.91	0.0	0.00	82.8	0.0	1.3	15.7	0.000	0.1803786849	1.3023585046	1.482	0.001
20151004	1.2992504283	0.376	0.0	6.4	1.39	1.90	0.0	0.00	81.4	0.0	0.0	15.6	0.000	0.000	1.2992504283	1.299	0.001
20151005	1.1995799869	0.340	0.0	7.3	1.66	2.30	0.0	0.00	79.8	0.0	0.0	14.4	0.000	0.000	1.1995799869	1.199	0.000
20151006	1.1107533398	0.319	0.1	8.6	1.96	2.77	0.0	0.00	77.9	0.0	0.0	13.4	0.000	0.000	1.1107533398	1.110	0.000
20151007	1.0255432269	0.314	0.0	10.8	1.41	2.04	0.0	0.00	76.5	0.0	0.0	12.3	0.000	0.000	1.0255432269	1.025	0.000
20151008	0.9468699058	0.308	0.0	7.1	1.22	1.80	0.0	0.00	75.2	0.0	0.0	11.4	0.000	0.000	0.9468699058	0.947	0.000
20151009	1.6233236039	1.196	17.1	7.1	0.85	1.19	0.0	0.00	84.3	7.2	3.6	13.4	0.000	0.5122637024	1.1110599015	1.623	0.000
20151010	1.3420915380	0.728	0.3	4.9	1.55	2.07	0.0	0.00	82.9	0.1	0.6	15.2	0.000	0.0794372798	1.2626542582	1.342	0.000
20151011	1.2084215181	0.533	0.0	9.3	1.59	2.16	0.0	0.00	81.3	0.0	0.0	14.5	0.000	0.000	1.2084215181	1.208	0.000
20151012	1.1157189079	0.467	0.0	13.4	1.68	2.34	0.0	0.00	79.6	0.0	0.0	13.4	0.000	0.000	1.1157189079	1.115	0.000
20151013	1.1939669126	0.469	5.0	13.2	1.13	1.58	0.0	0.00	81.4	2.1	0.0	14.4	0.000	0.000	1.1939669126	1.194	0.000
20151014	1.2692372827	0.666	4.9	6.0	1.28	1.74	0.0	0.00	82.8	2.2	0.0	15.3	0.000	0.000	1.2692372827	1.269	0.000
20151015	1.1718692638	0.539	0.0	6.4	1.59	2.16	0.0	0.00	81.2	0.0	0.0	14.1	0.000	0.000	1.1718692638	1.172	0.000
20151016	1.1553932664	0.553	2.2	4.2	1.53	2.11	0.0	0.00	81.0	1.0	0.0	13.9	0.000	0.000	1.1553932664	1.155	0.000
20151017	1.3192815219	0.594	7.2	-0.6	1.69	2.30	0.0	0.00	83.3	3.2	0.1	15.7	0.000	0.0156948798	1.3035866421	1.319	0.000
20151018	1.2120062606	0.564	0.8	-3.3	0.80	1.09	0.6	1.00	82.5	0.0	0.0	14.6	0.000	0.000	1.2120062606	1.212	0.000
20151019	1.1190286511	0.516	0.8	-2.3	0.00	2.01	1.2	1.00	82.5	0.0	0.0	13.5	0.000	0.000	1.1190286511	1.119	0.000
20151020	1.0878596977	0.569	0.4	7.1	0.00	1.33	0.0	0.00	83.3	0.7	0.0	13.1	0.000	0.000	1.0878596977	1.087	0.001
20151021	1.0356560308	0.528	0.9	9.6	0.99	1.34	0.0	0.00	82.8	0.4	0.0	12.5	0.000	0.000	1.0356560308	1.034	0.001
20151022	0.9905383390	0.495	1.0	10.5	0.83	1.12	0.0	0.00	82.6	0.4	0.0	11.9	0.000	0.000	0.990538339	0.989	0.002
20151023	0.9247856937	0.459	0.3	1.8	0.67	0.92	0.0	0.00	82.1	0.1	0.0	11.1	0.000	0.000	0.9247856937	0.923	0.002
20151024	0.8538418662	0.416	0.0	1.6	1.43	1.97	0.0	0.00	80.6	0.0	0.0	10.3	0.000	0.000	0.8538418662	0.852	0.002
20151025	0.9147069940	0.519	3.8	6.4	1.11	1.54	0.0	0.00	81.7	1.6	0.0	11.0	0.000	0.000	0.914706994	0.912	0.003
20151026	0.8712789395	0.476	0.8	1.8	1.04	1.44	0.0	0.00	81.1	0.3	0.0	10.5	0.000	0.000	0.8712789395	0.868	0.003
20151027	0.8044398186	0.432	0.0	2.4	0.75	1.05	0.0	0.00	80.3	0.0	0.0	9.7	0.000	0.000	0.8044398186	0.801	0.003
20151028	1.6512560536	0.944	18.0	3.1	0.73	0.97	0.0	0.00	89.1	8.5	4.7	11.8	0.000	0.6716998856	0.979556168	1.639	0.013
20151029	2.5139560356	3.926	16.9	10.5	1.42	1.72	0.0	0.00	95.3	9.4	9.6	13.7	0.000	1.3727173594	1.1412386762	2.493	0.020
20151030	2.2148553108	1.432	1.5	1.2	0.88	1.04	0.0	0.00	95.0	0.9	6.5	15.5	0.000	0.9243374065	1.2905179044	2.197	0.018
20151031	1.8509644981	1.030	0.0	1.8	1.11	1.32	0.0	0.00	93.9	0.0	3.0	17.2	0.000	0.4226191429	1.4283453552	1.836	0.015
20151101	1.6029668246	0.931	0.9	5.2	0.70	0.84	0.0	0.00	93.6	0.5	0.3	18.7	0.000	0.0473672865	1.5555995381	1.591	0.012
20151102	1.4832605349	0.828	0.5	5.7	1.25	1.50	0.0	0.00	92.5	0.3	0.0	17.9	0.000	0.000	1.4832605349	1.472	0.011
20151103	1.3737008462	0.793	0.1	8.2	0.86	1.05	0.0	0.00	91.7	0.1	0.0	16.5	0.000	0.000	1.3737008462	1.363	0.011
20151104	1.2683190301	0.746	0.0	7.5	1.02	1.26	0.0	0.00	90.7	0.0	0.0	15.3	0.000	0.000	1.2683190301	1.258	0.010
20151105	1.1710214539	0.736	0.0	11.9	1.21	1.51	0.0	0.00	89.5	0.0	0.0	14.1	0.000	0.000	1.1710214539	1.162	0.009
20151106	1.0851575810	0.721	0.1	14.4	1.27	1.60	0.0	0.00	88.3	0.1	0.0	13.1	0.000	0.000	1.085157581	1.077	0.008
20151107	1.0640584679	0.692	1.6	6.7	1.20	1.53	0.0	0.00	87.9	0.8	0.0	12.8	0.000	0.000	1.0640584679	1.056	0.008
20151108	1.0054404533	0.691	0.6	1.1	1.29	1.66	0.0	0.00	86.9	0.3	0.0	12.1	0.000	0.000	1.0054404533	0.998	0.008
20151109	0.9283092924	0.660	0.0	3.9	0.73	0.95	0.0	0.00	86.1	0.0	0.0	11.2	0.000	0.000	0.9283092924	0.921	0.007
20151110	0.8570951562	0.636	0.0	5.1	1.03	1.35	0.0	0.00	85.1	0.0	0.0	10.3	0.000	0.000	0.8570951562	0.850	0.007
20151111	0.8094044791	0.642	0.5	6.2	0.71	0.94	0.0	0.00	84.7	0.2	0.0	9.7	0.000	0.000	0.8094044791	0.803	0.006
20151112	1.1989980239	0.860	9.8	5.4	1.00	1.30	0.0	0.00	88.7	4.8	1.5	11.8	0.000	0.2148580535	0.9841399705	1.190	0.009
20151113	1.7390513229	1.728	11.8	3.6	1.21	1.49	0.0	0.00	92.9	6.3	4.2	13.8	0.000	0.5935804851	1.1454708378	1.726	0.013
20151114	1.4276553864	1.754	4.9	-1.4	1.29	1.56	3.7	1.00	91.6	0.0	0.9	15.6	0.000	0.1332299857	1.2944254007	1.417	0.011
20151115	1.3619754271	1.139	0.2	0.3	0.00	1.24	1.6	1.00	92.7	1.2	0.0	16.4	0.000	0.000	1.3619754271	1.350	0.012
20151116	1.3680192220	1.105	1.0	0.3	0.00	0.98	0.0	0.00	93.8	1.4	0.0	16.5	0.000	0.000	1.368019222	1.352	0.016
20151117	1.2630732649	0.978	0.0	-0.8	0.67	0.81	0.0	0.00	93.1	0.0	0.0	15.2	0.000	0.000	1.2630732649	1.248	0.015
20151118	1.1661781113	0.876	0.0	0.7	1.01	1.22	0.0	0.00	92.1	0.0	0.0	14.0	0.000	0.000	1.1661781113	1.152	0.014
20151119	1.3613555520	0.909	6.2	5.3	0.89	1.07	0.0	0.00	94.0	3.5	0.3	15.8	0.000	0.0478114115	1.3135441405	1.337	0.025
20151120	1.6672367572	2.448	7.7	2.6	0.58	0.69	0.0	0.00	96.6	4.5	1.5	17.4	0.000	0.217631596	1.4496051612	1.629	0.039
20151121	1.4551931276	1.382	0.0	-0.1	1.07	1.25	0.0	0.00	95.5	0.0	0.0	17.5	0.000	0.000	1.4551931276	1.423	0.032
20151122	1.3525347588	1.177	0.2	2.4	0.91	1.08	0.0	0.00	94.7	0.1	0.0	16.3	0.000	0.000	1.3525347588	1.322	0.030
20151123	1.2487766738	1.032	1.6	-5.1	0.79	0.94	1.2	1.00	93.9	0.0	0.0	15.0	0.000	0.000	1.2487766738	1.221	0.028
20151124	1.1529782660	0.903	0.0	-7.0	0.00	0.38	1.2	1.00	93.9	0.0	0.0	13.9	0.000	0.000	1.152978266	1.127	0.026
20151125	1.0645289185	0.904	0.0	-3.3	0.00	0.52	1.2	1.00	93.9	0.0	0.0	12.8	0.000	0.000	1.0645289185	1.041	0.024
20151126	1.0350496953	0.903	0.0	1.1	0.00	0.48	0.0	0.00	94.4	0.7	0.0	12.5	0.000	0.000	1.0350496953	1.010	0.025
20151127	0.9951695136	0.918	0.9	5.7	1.00	1.19	0.0	0.00	93.8	0.5	0.0	12.0	0.000	0.000	0.9951695136	0.970	0.025
20151128	0.9709558738	1.010	1.2	0.3	0.88	1.05	0.0	0.00	93.5	0.7	0.0	11.7	0.000	0.000	0.9709558738	0.946	0.025
20151129	0.8964701562	0.903	0.6	-5.4	0.24	0.29	0.4	1.00	93.2	0.0	0.0	10.8	0.000	0.000	0.8964701562	0.873	0.023
20151130	0.8276985212	0.793	0.1	-6.7	0.00	0.22	0.5	1.00	93.2	0.0	0.0	10.0	0.000	0.000	0.8276985212	0.806	0.022
20151201	0.7642026199	0.886	8.2	-4.3	0.00	0.65	6.7	1.00	93.2	0.0	0.0	9.2	0.000	0.000	0.7642026199	0.744	0.020
20151202	2.4320345851	3.150	19.8	1.5	0.00	0.72	2.0	1.00	102.7	15.0	10.4	11.3	0.000	1.4896288673	0.9424057178	2.276	0.156
20151203	3.0109735623	2.823	9.4	1.1	0.00	1.31	0.0	0.00	106.2	7.9	13.3	13.3	0.000	1.904035384	1.1069381784	2.797	0.214
20151204	2.8349032059	1.756	3.3	-0.6	1.09	1.15	0.0	0.00	106.1	2.4	11.0	15.2	0.000	1.5760544778	1.2588487281	2.633	0.202
20151205	2.4631316582	1.641	0.8	0.4	0.80	0.85	0.0	0.00	105.5	0.6	7.4	16.8	0.000	1.0640260163	1.3991056419	2.289	0.174
20151206	2.0734398144	1.519	0.0	-0.1	0.89	0.95	0.0	0.00	104.6	0.0	3.8	18.4	0.000	0.5448369	1.5286029145	1.930	0.144
20151207	1.7387487190	1.415	0.0	-0.7	1.11	1.20	0.0	0.00	103.5	0.0	0.6	19.8	0.000	0.0905827602	1.6481659588	1.621	0.118
20151208	1.5703404077	1.357	0.5	-2.1	0.38	0.41	0.4	1.00	103.1	0.0	0.0	18.9	0.000	0.000	1.5703404077	1.464	0.106
20151209	1.4692723486	1.346	0.0	0.4	0.00	0.68	0.0	0.00	103.2	0.3	0.0	17.7	0.000	0.000	1.4692723486	1.370	0.100
20151210	1.3565588791	1.485	0.0	4.2	0.68	0.74	0.0	0.00	102.6	0.0	0.0	16.3	0.000	0.000	1.3565588791	1.265	0.092
20151211	1.2524920885	1.555	0.0	5.2	0.59	0.65	0.0	0.00	102.0	0.0	0.0	15.1	0.000	0.000	1.2524920885	1.168	0.085
20151212	1.1716169784	1.411	0.3	3.6	0.30	0.33	0.0	0.00	101.8	0.2	0.0	14.1	0.000	0.000	1.1716169784	1.092	0.080
20151213	1.0968918912	1.283	0.3	1.4	0.79	0.88	0.0	0.00	101.1	0.2	0.0	13.2	0.000	0.000	1.0968918912	1.022	0.075
20151214	1.0877190491	1.250	1.5	3.7	0.58	0.64	0.0	0.00	101.0	1.0	0.0	13.1	0.000	0.000	1.0877190491	1.012	0.076
20151215	1.7250846729	2.227	10.4	3.7	0.49	0.54	0.0	0.00	104.0	7.0	3.4	14.9	0.000	0.4839807015	1.2411039714	1.599	0.126
20151216	1.4200599987	1.702	0.8	-1.5	0.87	0.95	0.6	1.00	103.1	0.0	0.3	16.6	0.000	0.0373378457	1.382722153	1.317	0.103
20151217	1.6650840262	1.604	5.3	2.1	0.00	0.60	0.0	0.00	105.0	4.0	1.1	18.2	0.000	0.1516077609	1.5134762653	1.542	0.124
20151218	1.5753240954	2.089	1.8	1.3	0.95	1.02	0.0	0.00	104.6	1.3	0.0	19.0	0.000	0.000	1.5753240954	1.458	0.117
